no,word-talgalog,word meaning-english,scentence-tagalog,scentence-korean
955,Tulad,like or similar,Tulad ng inaasahan,nanalo siya.
956,Star,star (celebrity or astronomical),Ang Star Wars ay isang sikat na pelikula.,스타 워즈는 유명한 영화입니다.
957,Simula,beginning or start,Simula ngayon,magbabago ako.
958,Silangang,eastern,Ang Silangang bahagi ay sikat ng araw.,동쪽 부분은 해가 뜹니다.
959,Philippines,Philippines,Ang Philippines ay isang bansang tropikal.,필리핀은 열대 국가입니다.
960,New York,New York,New York ay kilalang lungsod.,뉴욕은 유명한 도시입니다.
961,La,the (Spanish article),La Mesa ay isang barangay.,라 메사는 바랑가이입니다.
962,India,India,Ang India ay mayaman sa kultura.,인도는 문화가 풍부합니다.
963,Higit,more or greater,Higit na mabuti ang kalalabasan.,결과가 더 좋습니다.
964,Entertainment,entertainment,Ang Entertainment industry ay malaki.,엔터테인먼트 산업은 큽니다.
965,Elias,Elias (proper name),Si Elias ay isang mabuting tao.,엘리아스는 좋은 사람입니다.
966,Bibliya,Bible,Ang Bibliya ay banal na libro.,성경은 신성한 책입니다.
967,Araw,sun or day,Ang Araw ay maliwanag.,해는 밝습니다.
968,Antonio,Antonio (proper name),Si Antonio ay aking kaibigan.,안토니오는 내 친구입니다.
969,Angeles,Angeles (place name),Angeles City ay nasa Pampanga.,앤젤레스 시티는 팜팡가에 있습니다.
970,Anak,child or son/daughter,Ang anak ay masunurin.,아이는 순종적입니다.
971,yards,yards (unit of measurement),Limang yards ang haba nito.,길이가 5야드입니다.
972,wakas,end or conclusion,Sa wakas,natapos din.
973,umabot,reached,Umabot siya sa tuktok ng bundok.,그는 산 정상에 도달했습니다.
974,tumigil,stopped,Tumigil ang bus sa istasyon.,버스는 정류장에 멈췄습니다.
975,titulo,title or degree,Ang titulo ng libro ay pambihira.,책의 제목은 독특합니다.
976,tingnan,to look or see,Tingnan mo ang ibon.,새를 봐보세요.
977,taunang,annual,Ang taunang pista ay malapit na.,연례 축제가 곧 다가옵니다.
978,tabi,side or beside,Nasa tabi ako ng kapatid ko.,나는 내 형제 옆에 있습니다.
979,suso,snail or breasts,Ang suso ay kumakain ng dahon.,달팽이는 나뭇잎을 먹습니다.
980,sumulat,wrote,Sumulat siya ng liham.,그는 편지를 썼습니다.
981,silid,room,Ang silid ay malinis.,방은 깨끗합니다.
982,silangan,east,Ang silangan ay kung saan sumisikat ang araw.,동쪽은 해가 뜨는 곳입니다.
983,rock,rock (music or stone),Ang rock music ay maingay.,록 음악은 시끄럽습니다.
984,radyo,radio,Ang radyo ay bukas pa.,라디오는 아직 켜져 있습니다.
985,pumunta,went,Pumunta siya sa palengke.,그는 시장에 갔습니다.
986,produksyon,production,Ang produksyon ng pelikula ay matagumpay.,영화의 제작은 성공적이었습니다.
987,politiko,politician,Ang politiko ay may malaking impluwensiya.,정치인은 큰 영향력을 가지고 있습니다.
988,pinakamahusay,best,Siya ang pinakamahusay na manlalaro.,그는 최고의 선수입니다.
989,pinaka,most or superlative,Pinaka-importante ang kalusugan.,건강이 가장 중요합니다.
990,pareho,same or equal,Pareho ang sagot nila.,그들의 답이 같습니다.
991,parang,seems like or meadow,Parang masaya siya ngayon.,그는 지금 행복해 보입니다.
992,pansamantalang,temporary,Pansamantalang pansamantalang trabaho ito.,이것은 임시 작업입니다.
993,pangyayaring,event or happening,Ang pangyayaring ito ay kasaysayan.,이 사건은 역사적입니다.
994,pamilihan,market,Malaki ang pamilihan sa lungsod.,도시의 시장이 큽니다.
995,pamantayan,standard or criterion,Ang pamantayan ay mataas.,기준이 높습니다.
996,pahina,page,Ang pahina ay puti at malinis.,페이지는 희고 깨끗합니다.
997,pagkilala,recognition,Ang pagkilala sa kanya ay matagal na.,그에 대한 인정은 오래되었습니다.
998,organisasyon,organization,Ang organisasyon ay may layunin.,조직은 목적이 있습니다.
999,obispo,bishop,Ang obispo ay may respeto.,주교는 존경받습니다.
1000,naturang,such or aforementioned,Ang naturang bagay ay mahalaga.,전술한 물건은 중요합니다.
1001,natural,natural,Ang natural na yaman ay sagana.,천연자원이 풍부합니다.
1002,natitira,remaining,Ang natitira ay para sa iyo.,남은 것은 당신을 위한 것입니다.
1003,natanggap,received,Natanggap ko ang sulat.,나는 편지를 받았습니다.
1004,napili,chosen or selected,Napili siya bilang pinuno.,그는 리더로 선정되었습니다.
1005,mukha,face,Ang mukha niya ay kaakit-akit.,그녀의 얼굴은 매력적입니다.
1006,may-akda,author,Siya ang may-akda ng nobela.,그는 소설의 작가입니다.
1007,matagal,long time,Matagal na kaming magkakilala.,우리는 오래 알고 지냈습니다.
1008,masa,mass or people,Ang masa ay sumusuporta sa kanya.,대중은 그를 지지합니다.
1009,makasaysayang,historical,Ang makasaysayang lugar ay sikat.,역사적인 장소가 유명합니다.
1010,lumilitaw,appearing or emerging,Lumilitaw ang problema.,문제가 나타나고 있습니다.
1011,liwanag,light,Ang liwanag ng buwan ay malamig.,달빛은 차갑습니다.
1012,kwento,story,Ang kwento ay nakakaiyak.,이야기가 눈물 납니다.
1013,kontrata,contract,Ang kontrata ay pirma na.,계약이 서명되었습니다.
1014,komersyal,commercial,Ang komersyal ay nakakatawa.,광고가 웃깁니다.
1015,kesa,than,Mas mataas siya kesa sa akin.,그는 나보다 더 크다.
1016,kayamanan,wealth,Ang kayamanan ay hindi lahat.,부는 전부가 아닙니다.
1017,katinig,consonant,Ang katinig ay mahirap banggitin.,자음은 발음하기 어렵습니다.
1018,katawagang,term or designation,Ang katawagang ito ay bago.,이 용어는 새롭습니다.
1019,kasanayan,skill or expertise,Ang kasanayan ay kailangan sa trabaho.,직무에 기술이 필요합니다.
1020,karangalan,honor,Ang karangalan ay sa kanya.,명예는 그에게 있습니다.
1021,kanluran,west,Ang kanluran ay kung saan lumulubog ang araw.,서쪽은 해가 지는 곳입니다.
1022,kaliwa,left,Kaliwa ang daan patungong bayan.,마을로 가는 길은 왼쪽입니다.
1023,kaguluhan,chaos or disorder,Ang kaguluhan ay lumala.,혼란이 심해졌습니다.
1024,ka,you or companion,Kaibigan kita.,나는 너를 친구로 생각해.
1025,inilarawan,described or portrayed,Inilarawan niya ang kanyang karanasan.,그는 자신의 경험을 묘사했습니다.
1026,impeksiyon,infection,Ang impeksiyon ay malala.,감염이 심각합니다.
1027,imahe,image,Ang imahe ay malinaw.,이미지가 선명합니다.
1028,harap,front or face,Harap ang bahay sa kalsada.,집이 길가에 있습니다.
1029,gumamit,used,Gumamit siya ng kompyuter.,그는 컴퓨터를 사용했습니다.
1030,gayundin,as well as,Gayundin ang kanyang mga kaibigan.,그의 친구들도 마찬가지입니다.
1031,gantimpala,reward,Ang gantimpala ay para sa kanya.,보상은 그를 위한 것입니다.
1032,espesyal,special,Ang espesyal na araw ay darating.,특별한 날이 다가오고 있습니다.
1033,bundok,mountain,Ang bundok ay mataas at maganda.,산이 높고 아름답습니다.
1034,bulkan,volcano,Ang bulkan ay sumabog kahapon.,화산이 어제 폭발했습니다.
1035,boto,vote,Ang boto ay para sa kanya.,그 표는 그를 위한 것입니다.
1036,binago,changed or modified,Binago niya ang kanyang isip.,그는 마음을 바꿨습니다.
1037,baybayin,seashore or coastline,Ang baybayin ay mahaba.,해안선이 길다.
1038,barangay,barangay (village),Ang barangay ay may maliit na populasyon.,바랑가이는 인구가 작습니다.
1039,US,United States,Ang US ay malaking bansa.,미국은 큰 나라입니다.
1040,Time,time (magazine or concept),Ang Time magazine ay sikat.,타임 잡지는 유명합니다.
1041,Paul,Paul (proper name),Si Paul ay mabait na tao.,폴은 착한 사람입니다.
1042,Park,park (place or name),Ang Park ay malawak.,공원이 넓습니다.
1043,Namatay,died,Namatay ang ilaw nang bigla.,불이 갑자기 꺼졌습니다.
1044,Michael,Michael (proper name),Si Michael ay kapatid ko.,마이클은 내 형입니다.
1045,Me,me (pronoun),Bigyan mo ako ng pagkain.,나에게 음식을 줘.
1046,Marami,many or much,Marami ang dumalo sa salu-salo.,파티에 많은 사람이 참석했습니다.
1047,London,London (city),Ang London ay lungsod ng United Kingdom.,런던은 영국의 도시입니다.
1048,Kalakhang,metropolitan,Kalakhang Maynila ay siksikan.,수도권 마닐라는 붐빕니다.
1049,High,high (school or level),Ang High School ay apat na taon.,고등학교는 4년입니다.
1050,Gitnang,middle,Gitnang Asya ay malawak.,중앙아시아는 넓습니다.
1051,George,George (proper name),Si George ay matalino.,조지는 똑똑합니다.
1052,Estado,state,Ang Estado ay may sariling batas.,주는 자체 법률이 있습니다.
1053,American,American (person or thing),Ang American culture ay sikat.,미국 문화가 유명합니다.
1054,umaabot,reaching or attaining,Umaabot siya sa kanyang mga pangarap.,그는 자신의 꿈을 이루고 있습니다.
1055,tumatanggap,receiving,Tumatanggap siya ng regalo.,그는 선물을 받고 있습니다.
1056,tumanggap,received,Tumanggap kami ng balita.,우리는 소식을 받았습니다.
1057,tradisyunal,traditional,Ang tradisyunal na sayaw ay maganda.,전통 무용이 아름답습니다.
1058,tinutukoy,being referred to,Tinutukoy niya ang problema.,그는 문제를 언급하고 있습니다.
1059,tinanggap,accepted,Tinanggap niya ang hamon.,그는 도전을 받아들였습니다.
1060,teoriyang,theory,Ang teoriyang ito ay kapani-paniwala.,이 이론은 믿을 만합니다.
1061,talagang,really or truly,Talagang masaya siya ngayon.,그는 정말 행복해 보입니다.
1062,sumailalim,underwent,Sumailalim siya sa operasyon.,그는 수술을 받았습니다.
1063,solo,solo or alone,Solo niyang ginawa ang proyekto.,그는 프로젝트를 혼자 했습니다.
1064,siyentipiko,scientist,Ang siyentipiko ay matalino.,과학자는 똑똑합니다.
1065,sitwasyon,situation,Ang sitwasyon ay kumplikado.,상황이 복잡합니다.
1066,sino,who,Sino ang kasama mo?,누가 너와 함께 있니?
1067,sinimulan,started,Sinimulan niya ang kanyang trabaho.,그는 일을 시작했습니다.
1068,sasakyan,vehicle,Ang sasakyan ay bago.,차량이 새롭습니다.
1069,sanggunian,reference or source,Ang sanggunian ay kapani-paniwala.,참고 자료가 신뢰할 수 있습니다.
1070,salik,factor or element,Ang salik na ito ay mahalaga.,이 요소는 중요합니다.
1071,saklaw,scope or coverage,Ang saklaw ng proyekto ay malawak.,프로젝트의 범위가 넓습니다.
1072,produktong,product,Ang produktong ito ay bago.,이 제품은 새로운 것입니다.
1073,problemang,problem,Ang problemang ito ay mahirap.,이 문제는 어렵습니다.
1074,porma,form or shape,Ang porma ay perpekto.,형태가 완벽합니다.
1075,pinangunahan,led,Pinangunahan niya ang grupo.,그는 그룹을 이끌었습니다.
1076,pinamumunuan,being led,Ang bansa ay pinamumunuan ng presidente.,나라는 대통령이 이끌고 있습니다.
1077,petsa,date,Ang petsa ng kasal ay malapit.,결혼식 날짜가 가까워졌습니다.
1078,pasyente,patient,Ang pasyente ay gumaling.,환자가 회복되었습니다.
1079,pasahero,passenger,Ang pasahero ay nasa sasakyan.,승객이 차 안에 있습니다.
1080,papa,Pope,Ang papa ay may mensahe.,교황이 메시지를 가지고 있습니다.
1081,panloob,internal or indoor,Ang panloob na disenyo ay maganda.,실내 디자인이 아름답습니다.
1082,panalo,victory or win,Ang panalo ay para sa team.,승리는 팀을 위한 것입니다.
1083,pakpak,wing,Ang pakpak ng ibon ay malaki.,새의 날개가 크다.
1084,pagsabog,explosion,Ang pagsabog ay malakas.,폭발이 강렬했다.
1085,paglipas,passing or elapsing,Ang paglipas ng panahon ay mabilis.,시간의 흐름이 빠릅니다.
1086,paglikha,creation,Ang paglikha ng sining ay mahalaga.,예술 창작이 중요합니다.
1087,pagkuha,getting or taking,Ang pagkuha ng litrato ay bawal.,사진 촬영은 금지되어 있습니다.
1088,pagkilos,action or movement,Ang pagkilos ng kabataan ay mabilis.,청소년들의 움직임이 빠릅니다.
1089,paghihiwalay,separation,Ang paghihiwalay ay masakit.,이별은 아프다.
1090,pag-ibig,love,Ang pag-ibig ay walang hanggan.,사랑은 영원합니다.
1091,pag-aalsa,uprising or revolt,Ang pag-aalsa ay naging matagumpay.,봉기가 성공했다.
1092,nobelang,novel,Ang nobelang ito ay pambihira.,이 소설은 특별합니다.
1093,ninuno,ancestor,Ang ninuno ay may karunungan.,조상은 지혜가 있습니다.
1094,naniniwala,believes,Naniniwala siya sa kanyang sarili.,그는 자신을 믿습니다.
1095,naiiba,different,Naiiba ang pananaw niya.,그의 관점이 다릅니다.
1096,nagresulta,resulted,Nagresulta ito sa tagumpay.,이것은 성공으로 이어졌습니다.
1097,nag,did or performed,Nagtrabaho siya nang husto.,그는 열심히 일했습니다.
1098,nabubuhay,living or alive,Nabubuhay pa ang halaman.,식물은 아직 살아 있습니다.
1099,mismong,actual or very,Mismong ang presidente ay dumalo.,대통령 본인이 참석했습니다.
1100,metal,metal,Ang metal ay matibay.,금속은 단단합니다.
1101,medyo,somewhat or a bit,Medyo mahaba ang pila.,줄이 좀 길다.
1102,medalya,A metal disc awarded as a prize or honor,Nakatanggap siya ng gintong medalya sa paligsahan.,그는 대회에서 금메달을 받았습니다.
1103,materyales,Substances used for making things,Ang mga materyales sa gusali ay matitibay.,건물의 재료들은 튼튼합니다.
1104,masamang,Having bad or evil qualities,Ang masamang balita ay kumalat sa buong bayan.,나쁜 소식이 마을 전체에 퍼졌습니다.
1105,makuha,To obtain or take something,Nais niyang makuha ang unang pwesto.,그는 1등을 차지하고 싶어합니다.
1106,makabagong,Modern or contemporary,Ang makabagong teknolohiya ay nagpapadali sa buhay.,현대 기술은 삶을 편하게 해줍니다.
1107,mahigpit,Tight or strict,Mahigpit ang yakap ng ina sa kanyang anak.,어머니는 아이를 꼭 안았습니다.
1108,mahahalagang,Very important or valuable,Ang mahahalagang dokumento ay nawawala.,중요한 서류들이 분실되었습니다.
1109,mabuti,Good or well,Mabuti ang kalusugan ni Lola.,할머니의 건강은 좋습니다.
1110,m,Abbreviation for 'metro' or 'mister',Ang pagsukat ay limang m ang haba.,길이는 5미터입니다.
1111,lumaki,To grow up or increase in size,Lumaki siya sa probinsya.,그는 시골에서 자랐습니다.
1112,langis,A thick liquid used for lubrication or cooking,Ang langis ay ginagamit sa pagluluto.,기름은 요리에 사용됩니다.
1113,la,A musical note or a syllable in solfeggio,Ang kanta ay nagsisimula sa notang la.,노래는 '라' 음으로 시작합니다.
1114,kuryente,Electric power or current,Nawalan ng kuryente kagabi.,어젯밤에 정전이 있었습니다.
1115,kurso,A course or direction of study,Ang kurso niya ay Nursing.,그녀의 전공은 간호학입니다.
1116,kumuha,To take or get something,Kumuha siya ng litrato ng pagsikat ng araw.,그는 일출 사진을 찍었습니다.
1117,kumakain,Currently eating,Kumakain sila ng hapunan ngayon.,그들은 지금 저녁 식사를 하고 있습니다.
1118,katagang,A phrase or expression,Ang katagang ito ay paborito ko.,이 표현은 제가 가장 좋아하는 것입니다.
1119,kasamang,Companion or colleague,Si Ana ang kasamang ko sa biyahe.,안나는 제 여행 동반자입니다.
1120,kasabay,At the same time or together with,Kasabay niya ang kanyang kaibigan sa pagpasok.,그는 친구와 함께 들어갔습니다.
1121,kanser,A disease caused by uncontrolled cell growth,Ang kanser ay isang malalang sakit.,암은 심각한 질병입니다.
1122,kalagitnaan,The middle or center part,Nasa kalagitnaan kami ng aming paglalakbay.,우리는 여행의 중간에 있습니다.
1123,kailan,When or at what time,Kailan ang iyong kaarawan?,너의 생일은 언제입니까?
1124,kahirapan,Poverty or hardship,Ang kahirapan ay suliranin ng maraming tao.,빈곤은 많은 사람들의 문제입니다.
1125,kadalasan,Usually or most of the time,Kadalasan siyang dumadating nang maaga.,그는 대부분 시간을 일찍 옵니다.
1126,kaalaman,Knowledge or information,Mahalaga ang kaalaman sa pag-aaral.,지식은 학습에 중요합니다.
1127,insidente,An event or occurrence,Isang insidente ang nangyari sa kalsada.,도로에서 사건이 발생했습니다.
1128,inilalarawan,Being described or portrayed,Inilalarawan niya ang kanyang karanasan.,그녀는 자신의 경험을 설명하고 있습니다.
1129,ikaapat,Fourth in order,Siya ang ikaapat na anak sa pamilya.,그는 가족에서 네 번째 아이입니다.
1130,iisang,The same or only one,Iisang puso lang ang kailangan.,하나의 마음만 필요합니다.
1131,host,A person who receives guests,Ang host ng palabas ay si Luis.,쇼의 진행자는 루이스입니다.
1132,hiwalay,Separated or apart,Hiwalay na silang dalawa.,그들은 이제 헤어졌습니다.
1133,hitsura,Appearance or looks,Maganda ang hitsura ng bagong kotse.,새 차의 외모가 아름답습니다.
1134,ginto,A precious yellow metal,Ang singsing ay gawa sa ginto.,반지는 금으로 만들어졌습니다.
1135,film,A motion picture or movie,Ang film ay tungkol sa pag-ibig.,영화는 사랑에 대한 이야기입니다.
1136,estadong,The state or condition,Ang estadong pangkalusugan niya ay maayos.,그녀의 건강 상태는 양호합니다.
1137,episode,A part of a series,Ang episode ngayong gabi ay nakakaiyak.,오늘 밤 에피소드는 눈물 납니다.
1138,datos,Facts or information collected for analysis,Ang datos ay mahalaga sa pananaliksik.,데이터는 연구에 중요합니다.
1139,dami,Quantity or amount,Malaki ang dami ng kinain niya.,그는 많은 양을 먹었습니다.
1140,damdamin,Emotions or feelings,Ang kanyang damdamin ay totoo.,그녀의 감정은 진실합니다.
1141,dahon,A leaf from a plant,Ang dahon ng saging ay malapad.,바나나 잎은 넓습니다.
1142,bulaklak,A flower,Ang bulaklak sa hardin ay namumukadkad.,정원의 꽃이 활짝 피었습니다.
1143,buhok,Hair on the head,Mahaba ang buhok ni Maria.,마리아의 머리카락이 깁니다.
1144,boses,The sound produced by the voice,Malakas ang boses ni Papa.,아빠 목소리가 큽니다.
1145,awtoridad,The power to give orders or make decisions,Ang awtoridad ay dapat gamitin nang tama.,권위는 올바르게 사용되어야 합니다.
1146,ari-arian,Possessions or property,Ang kanilang ari-arian ay nasunog.,그들의 재산이 불탔습니다.
1147,angkop,Suitable or appropriate,Ang damit na ito ay angkop sa iyo.,이 옷은 너에게 적합합니다.
1148,akdang,A literary work or composition,Ang akdang ito ay isang obra maestra.,이 문학 작품은 걸작입니다.
1149,You,The pronoun referring to the person addressed,Ikaw ang aking inspirasyon.,너는 나의 영감입니다.
1150,Una,First in order or time,Siya ang una sa pila.,그녀는 줄에서 첫 번째입니다.
1151,Tokyo,The capital city of Japan,Nagbakasyon kami sa Tokyo.,우리는 도쿄로 휴가를 갔습니다.
1152,Sun,The star at the center of the solar system,Mainit ang sikat ng araw.,햇빛이 뜨겁습니다.
1153,Song,A musical piece with lyrics,Ang kanta ay isang magandang song.,노래는 아름다운 곡입니다.
1154,Senado,The upper house of the legislature,Ang Senado ay nagpasa ng bagong batas.,상원은 새 법안을 통과시켰습니다.
1155,Santos,"A common surname meaning ""saints""",Si Carlos Santos ang nanalo.,카를로스 산토스가 이겼습니다.
1156,Punong,Chief or head,Punong barangay ang kanyang ama.,그의 아버지는 바랑가이 의장입니다.
1157,Paris,The capital city of France,Maganda ang Eiffel Tower sa Paris.,파리의 에펠탑이 아름답습니다.
1158,One,The number 1,Isa lang ang hiling ko.,나는 단 하나만 원합니다.
1159,Nanalo,Won or was victorious,Nanalo siya sa paligsahan.,그는 대회에서 이겼습니다.
1160,Ministro,A government minister,Ang Ministro ng Edukasyon ay dumalo.,교육부 장관이 참석했습니다.
1161,Metro Manila,The metropolitan region of Manila,Metro Manila ay ma-traffic palagi.,메트로 마닐라는 항상 교통이 막힙니다.
1162,Mario,A common male given name,Si Mario ay aking kaibigan.,마리오는 나의 친구입니다.
1163,Man,An adult human male,Ang matandang man ay mabait.,늙은 남자는 친절합니다.
1164,Mahigit,More than or over,Mahigit isang daan ang dumalo.,100명 이상이 참석했습니다.
1165,Lawa,A lake or large body of water,Ang Lawa ng Taal ay sikat.,타알 호수는 유명합니다.
1166,Laguna,A province in the Philippines,Ang Laguna ay may magagandang tanawin.,라구나는 아름다운 경치가 있습니다.
1167,Labanan,A battle or fight,Ang labanan ay naganap kahapon.,전투는 어제 발생했습니다.
1168,Kanlurang,Western or west side,Ang Kanlurang bahagi ay maulan.,서쪽 지역은 비가 옵니다.
1169,Japanese,Relating to Japan or its people,Ang Japanese na turista ay magalang.,일본 관광객은 정중합니다.
1170,Irlanda,Ireland country in Europe,Ang Irlanda ay may berdeng tanawin.,아일랜드는 푸른 경치가 있습니다.
1171,Ilang,Several or some,Ilang taon na siyang nagtatrabaho.,그는 몇 년째 일하고 있습니다.
1172,Ilan,How many or some,Ilan ang kailangan mo?,몇 개 필요하십니까?
1173,Ikalawang,Second in order,Ikalawang pwesto siya sa karera.,그는 경주에서 2등을 했습니다.
1174,House,A building for living in,Malaki ang house nila.,그들의 집은 큽니다.
1175,HIV,Human Immunodeficiency Virus,Ang HIV ay isang virus.,HIV는 바이러스입니다.
1176,Grand,Magnificent or high-ranking,Ang Grand Canyon ay kahanga-hanga.,그랜드 캐니언은 경이롭습니다.
1177,Ginamit,Was used or utilized,Ginamit niya ang kanyang talino.,그는 자신의 지능을 사용했습니다.
1178,Don,A Spanish title or given name,Si Don Pedro ay mayaman.,돈 페드로는 부자입니다.
1179,De,Spanish preposition meaning 'of',De la Cruz ang kanyang apelyido.,그녀의 성은 델라크루즈입니다.
1180,Davao,A city in the Philippines,Ang Davao ay malinis na lungsod.,다바오는 깨끗한 도시입니다.
1181,DNA,Deoxyribonucleic acid,Ang DNA ay naglalaman ng genetic information.,DNA는 유전 정보를 포함합니다.
1182,Center,A middle point or facility,Ang center ng lungsod ay abala.,도시 중심은 바쁩니다.
1183,Brown,A color between red and yellow,Brown ang kulay ng kanyang buhok.,그녀의 머리 색은 갈색입니다.
1184,British,Relating to Great Britain or its people,Ang British na aktor ay sikat.,영국 배우가 유명합니다.
1185,Billboard,A large outdoor advertising board,Nakita ko ang billboard sa highway.,고속도로에서 광고판을 봤습니다.
1186,Bayan,Town or nation,Ang bayan namin ay mapayapa.,우리 마을은 평화롭습니다.
1187,Bagyong,Typhoon or large tropical storm,Ang bagyong Yolanda ay malakas.,요란다 태풍은 강력했습니다.
1188,Bagamat,Although or even though,Bagamat pagod siya ay nagpatuloy.,비록 피곤했지만 계속했습니다.
1189,America,The United States or the Americas,Ang America ay malawak.,아메리카는 넓습니다.
1190,ABS-CBN,A major Philippine media network,Ang ABS-CBN ay may maraming palabas.,ABS-CBN은 많은 쇼를 가지고 있습니다.
1191,year,A period of 365 days,Isang year na siya sa abroad.,그는 해외에서 1년째입니다.
1192,upuan,A chair or seat,Ang upuan ay komportable.,의자는 편안합니다.
1193,ulat,A report or news item,Ang ulat ay tungkol sa bagyo.,보고서는 태풍에 관한 것입니다.
1194,tuwirang,Direct or straightforward,Tuwirang sagot ang ibinigay niya.,그녀는 직접적인 대답을 했습니다.
1195,tungo,Towards or leading to,Tungo sa tagumpay ang kanyang paglalakbay.,그의 여정은 성공을 향하고 있습니다.
1196,tumagal,To last or endure for a period,Tumagal ang pelikula ng dalawang oras.,영화는 2시간 동안 상영되었습니다.
1197,tumaas,To rise or increase,Tumaas ang presyo ng bilihin.,물가가 상승했습니다.
1198,tulungan,To help or assist,Tulungan mo ang iyong kapwa.,당신의 이웃을 도우세요.
1199,tubo,A pipe or plant shoot,Mahaba ang tubo sa hardin.,정원의 관이 깁니다.
1200,tropikal,Relating to the tropics,Ang tropikal na klima ay mainit.,열대 기후는 덥습니다.
1201,transportasyon,Means of moving people or goods,Epektibo ang transportasyon sa lungsod.,도시의 교통은 효율적입니다.
1202,tinig,Voice or sound,Maganda ang tinig ni Sarah.,사라의 목소리가 아름답습니다.
1203,tema,Theme or main subject,Ang tema ng talumpati ay pag-asa.,연설의 주제는 희망입니다.
1204,tatlo,The number three,Tatlo ang anak nila.,그들은 세 자녀를 두고 있습니다.
1205,tampok,Featured or highlighted,Tampok siya sa pahayagan.,그는 신문에 실렸습니다.
1206,sumusuporta,Supporting or backing,Sumusuporta kami sa kandidato.,우리는 후보자를 지지합니다.
1207,sinulat,Written or composed,Sinulat niya ang nobela.,그는 소설을 썼습니다.
1208,simbahang,Church or religious building,Malaki ang simbahang ito.,이 교회는 큽니다.
1209,sila'y,"They are (contraction of ""sila ay"")",Sila'y pupunta sa Maynila.,그들은 마닐라로 갈 것입니다.
1210,show,A performance or entertainment program,Ang show ay nagsimula alas-otso.,쇼는 8시에 시작되었습니다.
1211,sektor,Sector or section,Malaki ang sektor ng agrikultura.,농업 부문이 큽니다.
1212,sekswal,Sexual or relating to sex,Ang edukasyong sekswal ay mahalaga.,성 교육은 중요합니다.
1213,sangkap,Ingredient or component,Ang sangkap ng pagkain ay sariwa.,음식의 재료는 신선합니다.
1214,sanggol,A baby or infant,Ang sanggol ay natutulog.,아기가 자고 있습니다.
1215,proyektong,Project or undertaking,Malaki ang proyektong ito.,이 프로젝트는 큽니다.
1216,popular,Well-liked by many,Popular ang bagong kanta.,새 노래가 인기 있습니다.
1217,pintuan,A door or entrance,Malaki ang pintuan ng bahay.,집의 문이 큽니다.
1218,pinsan,Cousin or relative,Ang pinsan ko ay dumating bukas.,내 사촌이 내일 옵니다.
1219,pinangalanan,Named or given a name,Pinangalanan nila ang bata na Maria.,그들은 아이의 이름을 마리아라고 지었습니다.
1220,pinakamahalagang,The most important,Ang pinakamahalagang bagay ay pamilya.,가장 중요한 것은 가족입니다.
1221,panlabas,External or outward,Ang panlabas na anyos ay maganda.,외부 모양이 아름답습니다.
1222,pangatlong,Third in order,Siya ang pangatlong anak.,그녀는 세 번째 자녀입니다.
1223,pananakop,Colonization or occupation,Ang pananakop ay matagal na panahon,점령은 오랜 기간이었습니다.
1224,pamumuhay,Way of life or living,Simple ang kanilang pamumuhay.,그들의 삶의 방식은 단순합니다.
1225,pamantasan,University or higher education institution,Ang pamantasan ay may magagaling na guro.,대학교에는 훌륭한 교수들이 있습니다.
1226,palibot,Surroundings or around,Napakaganda ng palibot.,주변 환경이 아름답습니다.
1227,pahayag,Statement or announcement,Ang pahayag ay mula sa presidente.,발표는 대통령으로부터입니다.
1228,pagsasalin,Translation or interpretation,Mahusay siya sa pagsasalin.,그는 번역을 잘합니다.
1229,pagmamay-ari,Ownership or possession,Ang pagmamay-ari ng lupa ay sa kanya.,토지 소유권은 그에게 있습니다.
1230,paglipat,Moving to another place,Ang paglipat ay matagumpay.,이사가 성공적으로 이루어졌습니다.
1231,paghahari,Rule or reign,Ang paghahari ng hari ay matagal.,왕의 통치는 오래 지속되었습니다.
1232,pag,A prefix or abbreviation,Ang pag-aaral ay mahalaga.,공부는 중요합니다.
1233,pader,Wall or barrier,Ang pader ay mataas.,벽이 높습니다.
1234,on,Activated or operating,On na ang ilaw.,불이 켜졌습니다.
1235,numero,A number or digit,Ang numero niya ay 1234.,그녀의 번호는 1234입니다.
1236,no,Negative response or denial,No ang sagot niya sa tanong.,"그녀는 질문에 ""아니오""라고 대답했습니다."
1237,nakatayo,Standing or upright,Nakatayo siya sa harap.,그는 앞에 서 있습니다.
1238,nagwagi,Won or was successful,Nagwagi sila sa paligsahan.,그들은 대회에서 우승했습니다.
1239,nagtatrabaho,Currently working,Nagtatrabaho siya sa opisina.,그는 사무실에서 일하고 있습니다.
1240,nagsasabing,Saying or stating,Nagsasabing siya ay masaya.,그녀는 행복하다고 말하고 있습니다.
1241,nagngangalang,Named or called,Nagngangalang Juan ang bata.,아이의 이름은 후안입니다.
1242,nagmumula,Coming from or originating,Nagmumula siya sa probinsya.,그는 시골에서 왔습니다.
1243,nagkamit,Achieved or obtained,Nagkamit siya ng tagumpay.,그는 성공을 거두었습니다.
1244,nagdudulot,Bringing about or causing,Nagdudulot ito ng kaligayahan.,이것은 행복을 가져옵니다.
1245,muna,First or for the time being,Kumain ka muna.,먼저 먹으세요.
1246,milya,A unit of distance equal to 1.609 km,Ang layo ay sampung milya.,거리는 10마일입니다.
1247,manggagawa,Worker or laborer,Ang manggagawa ay masipag.,노동자는 부지런합니다.
